Brand,Product,Category,Link,Ingredients
Bondi Boost,"Elixir Hair Pre-Shampoo Oil for Thicker, Stronger, Fuller-Looking Hair",Oils/Serums,https://www.ulta.com/p/elixir-hair-pre-shampoo-oil-thicker-stronger-fuller-looking-hair-pimprod2034444?sku=2600643,"Cold Pressed Castor Oil, Almond Oil, Caprylic /Capric Triglyceride, Walnut Oil, Mustard Oil, Argan Oil, Crambe Abyssinica Seed Oil Phytosterol Esters infused with Saw Palmeto & Amla, Jamaican Black Castor Oil, Lavender Essential Oil, Coffea Arabica Seed Oil, Peppermint Essential Oil"
Kreyòl Essence,Haitian Black Castor Oil - Lavender Hibiscus,Oils/Serums,https://www.ulta.com/p/haitian-black-castor-oil-lavender-hibiscus-pimprod2022704?sku=2578541,"100% Pure Ricinus Communis (Haitian Castor Seed) Oil, Lavandula Angustifolia (Lavender Essential Oil), Hibiscus Flower Extract"
Kreyòl Essence,Haitian Black Castor Oil - Rosemary Mint,Oils/Serums,https://www.ulta.com/p/haitian-black-castor-oil-rosemary-mint-pimprod2022702?sku=2578540,"100% Pure Ricinus Communis (Haitian Castor Seed) Oil, Mentha Piperita (Peppermint Essential Oil), Rosmarinus Officinalis (Rosemary) Leaf Oil"
Kreyòl Essence,"Haitian Black Castor Oil - Mango, Papaya & Coconut",Oils/Serums,https://www.ulta.com/p/haitian-black-castor-oil-mango-papaya-coconut-pimprod2022705?sku=2578542,"100% Ricinus Communis (Haitian Castor Seed) Oil, Mangifera Indica (Mango) Seed Oil, Carica Papaya (Papaya) Seed Oil, Cocos Nucifera (Coconut) Oil, Natural Aroma Oil Blend (Phtalates & Synthetic Free)"
Kreyòl Essence,Haitian Black Castor Oil - Original,Oils/Serums,https://www.ulta.com/p/haitian-black-castor-oil-original-pimprod2022689?sku=2578538,100% Ricinus Communis (Haitian Castor Seed) Oil
BosleyMD,Hair Regrowth Treatment for Women,Hair Loss Treatment,https://www.ulta.com/p/hair-regrowth-treatment-women-pimprod2017429?sku=2568648,"2% Minoxidil, Alcohol, Propylene Glycol, Water"
BosleyMD,Men's Hair Regrowth Spray Minoxidil 5%,Hair Loss Treatment,https://www.ulta.com/p/mens-hair-regrowth-spray-minoxidil-5-pimprod2038884?sku=2608304,"5% Minoxidil, Alcohol, Propylene Glycol, Water"
BosleyMD,Hair Regrowth Treatment for Men,Hair Loss Treatment,https://www.ulta.com/p/hair-regrowth-treatment-men-pimprod2017428?sku=2568647,"5% Minoxidil, Alcohol, Propylene Glycol, Water"
Thick Head,Hair Regrowth Treatment Sprayer for Men,Hair Loss Treatment,https://www.ulta.com/p/hair-regrowth-treatment-sprayer-men-pimprod2006421?sku=2549712,"5% Minoxidil,alcohol,propylene glycol, Water"
Nioxin,"Diamax Advanced, Hair Thickening & Breakage Protection Treatment For Thinning Hair",Hair Loss Treatment,https://www.ulta.com/p/diamax-advanced-hair-thickening-breakage-protection-treatment-thinning-hair-xlsImpprod11131187?sku=2277432,"Alcohol Denat, Water, Niacinamide, PEG-PPG-20/23 Dimethicone, Caffeine, Acrylates/C10-30, Alkyl Acrylate Crosspolymer, Fragrance, Panthenol, Tetrahydroxypropyl Ethylenediamine, Mentha Piperita Peppermint Oil, Menthol, Mentha Arvensis Leaf Oil"
Paul Mitchell,Platinum Blonde Toning Spray,Oils/Serums,https://www.ulta.com/p/platinum-blonde-toning-spray-pimprod2000437?sku=2533376,"Alcohol Denat (SD Alcohol 40-B) (SDA-CA-2877), Water, Soytrimonium Chloride, PEG-7 Glyceryl Cocoate, Panthenol, Alcohol, Basic Red 76, Butylene Glycol, Calcium Sodium Borosilicate, Lactic Acid, PEG-40 Hydrogenated Castor Oil, Propylene Glycol, Sodium Benzotriazolyl Butylphenol Sulfonate, Stearamidopropyl Dimethylamine, Tin Oxide, Tris(Tetramethylhydroxypiperidinol) Citrate, DMDM Hydantoin, Iodopropynyl Butylcarbamate, Acid Violet 43 (Ext Violet 2), CI 77891 (Titanium Dioxide), Parfum (Fragrance), Benzyl Alcohol, Benzyl Benzoate, Citronellol, Hexyl Cinnamal, Hydroxycitronellal, Linalool"
Nioxin,Nioxin Ultimate Power Serum,Oils/Serums,https://www.ulta.com/p/nioxin-ultimate-power-serum-pimprod2037856?sku=2607442,"Alcohol Denat, Water, Niacinamide, Caffeine, Sandalore, Parfum/Fragrance, Lauric Acid, Peg-40 Hydrogenated Castor Oil, Peg-35 Castor Oil, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Limonene, Alcohol, Linalool, Tocopherol, Citric Acid"
Sebastian,Penetraitt Overnight Repair Serum with Hyaluronic Acid,Oils/Serums,https://www.ulta.com/p/penetraitt-overnight-repair-serum-with-hyaluronic-acid-pimprod2040047?sku=2611929,"Alcohol Denat, Water, Niacinamide, PEG/PPG-20/23 Dimethicone, Caffeine, Parfum/Fragrance, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tetrahydroxypropyl Ethylenediamine, Sodium Hyaluronate, Glycerin, Hexyl Cinnamal, Benzyl Salicylate, PEG-30 Dipolyhydroxystearate, Linalool, Trideceth-6, Citronellol, Hydroxycitronellal, Alpha-Isomethyl Ionone, Amyl Cinnamal, Geraniol, Limonene"
L'anza,Keratin Healing Oil Lustrous Finishing Spray,Oils/Serums,https://www.ulta.com/p/keratin-healing-oil-lustrous-finishing-spray-xlsImpprod11061068?sku=2277313,"Alcohol Denat, Hydrofluorocarbon 152a, Octylacrylamide/acrylates/ Butylaminoethyl Methacrylate Copolymer, Keratin Amino Acids, Crambe Abyssinica Seed Oil, Orbignya Speciosa Kernel Oil, Euterpe Oleracea Fruit Oil, Coffea Arabica Seed Oil, Copaifera Officinalis Resin, Astrocaryum Murumuru Seed Butter, Cereus Grandiflorus Flower Extract, Dimethiconol Meadowfoamate, Sodium Pca, Magnesium Pca, Zinc Pca, Manganese Pca, Ethylhexyl Methoxycinnamate, Aminomethyl Propanol, Benzophenone-3, Triethyl Citrate, PEG/PPG-17/18 Dimethicone, Phenyl Trimethicone, Ampisostearoyl Hydrolyzed Wheat Protein, Fragrance (Parfum), Limonene, Benzyl Benzoate, Linalool"
Nioxin,"Diamax, Hair Thickening & Breakage Protection Treatment For Thinning Hair",Hair Loss Treatment,https://www.ulta.com/p/diamax-hair-thickening-breakage-protection-treatment-thinning-hair-xlsImpprod4450423?sku=2242677,"Alcohol Denat, Water, Niacinamide, PEG/PPG-20/23 Dimethicone, Caffeine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Fragrance, Panthenol, Triethanolamine, Mentha Piperita (Peppermint) Oil, Menthol, Mentha Arvensis Leaf Oil"
Nioxin,Night Density Rescue Treatment To Promote Hair Thickness,Hair Loss Treatment,https://www.ulta.com/p/night-density-rescue-treatment-promote-hair-thickness-xlsImpprod13881047?sku=2300852&sku=2300852,"Alcohol Denat, Water, Caffeine, Panthenol, Fragrance/ Parfum, Menthol, Lauric Acid, PEGg-40 Hydrogenated Castor Oil, Tocopheryl Acetate, PEG-35 Castor Oil, Polysorbate 20, Biotin, Zingiber Officinale (Ginger) Root Extract, Passiflora Edulis Fruit Extract, Citral, Limonene, Citronellol, Geraniol, Linalool"
